,BusinessYear,StateCode,Age,IndividualRate
681947,2014,FL,34,12.86
396828,2014,FL,45,278.0
253807,2014,FL,25,284.65
296830,2014,FL,58,861.89
710198,2014,FL,61,833.14
668880,2014,FL,25,28.75
830358,2014,FL,27,54.95
968289,2014,IN,42,488.47
411347,2014,FL,32,0.0
489072,2014,FL,21,290.34
514331,2014,FL,46,317.72
129259,2014,AZ,57,524.66
906393,2014,GA,39,19.03
525358,2014,FL,59,742.71
94414,2014,AZ,36,32.97
394906,2014,FL,55,512.0
552271,2014,FL,50,24.31
158255,2014,AZ,47,30.81
667236,2014,FL,31,42.2
305378,2014,FL,54,399.53
627107,2014,FL,23,26.14
116974,2014,AZ,49,430.17
851577,2014,GA,33,338.48
160600,2014,AZ,46,288.15
544028,2014,FL,57,36.94
13504,2014,AL,32,99.0
359443,2014,FL,39,366.06
316376,2014,FL,33,272.91
434817,2014,FL,38,301.0
127010,2014,AZ,47,335.67
277653,2014,FL,51,608.13
581369,2014,FL,27,15.64
410024,2014,FL,51,24.61
804992,2014,FL,37,48.94
90637,2014,AZ,64,1064.0
1009170,2014,IN,21,25.7
633105,2014,FL,32,17.98
703078,2014,FL,63,605.29
1034748,2014,IN,22,215.25
272426,2014,FL,34,364.95
379813,2014,FL,58,655.74
646307,2014,FL,55,28.66
386444,2014,FL,61,947.26
880042,2014,GA,48,20.61
535732,2014,FL,54,34.26
18752,2014,AL,36,16.89
94509,2014,AZ,39,33.9
911138,2014,GA,22,31.49
461676,2014,FL,41,307.66
488148,2014,FL,63,743.05
743175,2014,FL,41,21.99
293176,2014,FL,25,301.31
163296,2014,AZ,64,491.0
847210,2014,GA,33,271.53
116786,2014,AZ,57,591.8
91159,2014,AZ,56,1056.0
588309,2014,FL,35,16.86
263014,2014,FL,34,395.24
666138,2014,FL,34,28.66
367128,2014,FL,63,700.44
164212,2014,AZ,60,664.0
922466,2014,GA,40,999999.0
487361,2014,FL,58,598.68
377667,2014,FL,43,419.14
369975,2014,FL,61,668.51
366734,2014,FL,50,512.88
127030,2014,AZ,52,397.09
13318,2014,AL,28,99.0
917098,2014,GA,59,36.0
959052,2014,IN,0-20,18.75
286437,2014,FL,60,727.93
578226,2014,FL,43,15.3
569539,2014,FL,53,18.47
478713,2014,FL,58,591.35
122910,2014,AZ,40,278.07
750899,2014,FL,40,25.93
661163,2014,FL,31,28.66
421240,2014,FL,27,33.47
582210,2014,FL,57,27.08
660195,2014,FL,53,15.8
206038,2014,AZ,33,321.57
173033,2014,AZ,25,194.3
557770,2014,FL,45,24.31
119638,2014,AZ,30,262.35
535414,2014,FL,36,22.53
356672,2014,FL,33,338.73
429006,2014,FL,31,24.61
844192,2014,GA,61,618.04
752155,2014,FL,54,30.24
942380,2014,GA,26,188.0
427667,2014,FL,48,33.47
614984,2014,FL,33,11.43
431760,2014,FL,0-20,163.36
348082,2014,FL,62,653.26
153911,2014,AZ,27,226.54
754306,2014,FL,43,27.65
551487,2014,FL,31,19.62
418183,2014,FL,59,0.0
263486,2014,FL,31,272.59
456394,2014,FL,49,441.89
988612,2014,IN,59,38.05
81139,2014,AL,33,19.57
808391,2014,FL,32,29.68
172176,2014,AZ,0-20,36.96
298026,2014,FL,58,864.53
802903,2014,FL,64,29.68
957242,2014,IN,56,485.03
1006375,2014,IN,33,368.24
793570,2014,FL,23,48.94
534327,2014,FL,49,31.16
1017131,2014,IN,52,630.45
552700,2014,FL,43,24.31
571259,2014,FL,29,15.28
173328,2014,AZ,38,259.13
839844,2014,GA,37,31.84
48017,2014,AL,49,770.32
52076,2014,AL,52,399.5
618299,2014,FL,35,26.14
626690,2014,FL,44,34.39
237858,2014,FL,51,99.0
875569,2014,GA,0-20,26.58
868025,2014,GA,0-20,37.55
376326,2014,FL,62,886.33
782793,2014,FL,56,10.99
200435,2014,AZ,58,449.52
802186,2014,FL,37,24.06
732880,2014,FL,63,15.77
831119,2014,FL,52,54.95
815121,2014,FL,62,54.51
846442,2014,GA,64,681.12
670257,2014,FL,24,16.92
453885,2014,FL,24,267.25
416563,2014,FL,40,0.0
907937,2014,GA,26,14.04
519250,2014,FL,21,213.05
925522,2014,GA,29,252.04
164290,2014,AZ,46,367.0
249507,2014,FL,48,496.13
149602,2014,AZ,42,292.15
1021132,2014,IN,46,461.08
254339,2014,FL,28,198.0
52958,2014,AL,42,427.26
189158,2014,AZ,45,347.05
738294,2014,FL,44,15.77
815893,2014,FL,52,33.7
1039393,2014,IN,51,706.57
786577,2014,FL,22,48.94
744798,2014,FL,27,341.53
199838,2014,AZ,47,317.04
601298,2014,FL,23,32.85
560283,2014,FL,42,20.97
117191,2014,AZ,46,371.67
605740,2014,FL,49,27.6
514288,2014,FL,24,9999.0
841376,2014,GA,51,15.1
