,StateCode,ImportDate,NetworkId,NetworkName,NetworkURL,MarketCoverage
0,AK,2014-03-19 07:06:49,AKN001,ODS Premier,https://www.modahealth.com/ProviderSearch/faces/webpages/home.xhtml?dn=ods,
1,AK,2013-08-28 08:15:53,AKN001,HeritagePlus,https://www.premera.com/wa/visitor/,
2,AK,2013-08-01 12:48:00,AKN001,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,
3,AK,2013-09-02 11:39:25,AKN001,DentalGuard Preferred,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,
4,AK,2014-04-18 11:49:29,AKN001,Moda Plus AK Regional,https://www.modahealth.com/ProviderSearch/faces/webpages/home.xhtml?dn=ods,
5,AK,2014-04-18 11:49:29,AKN002,Moda Plus Providence,https://www.modahealth.com/ProviderSearch/faces/webpages/home.xhtml?dn=ods,
6,AK,2014-01-21 08:29:49,AKN001,DenteMax,http://www2.dentemax.com/,
7,AK,2013-06-06 10:50:48,AKN001,Ameritas PPO Dental Network,www.standard.com,
8,AL,2014-01-21 08:29:49,ALN001,DenteMax,http://www2.dentemax.com/,
9,AL,2014-01-21 08:29:49,ALN002,CONNECTION Dental through PPO USA,http://www.ppousa.com/patients/index.html,
10,AL,2013-09-02 11:39:25,ALN001,DentalGuard Preferred,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,
11,AL,2014-01-21 08:29:49,ALN001,Birmingham PPOx,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=808,
12,AL,2014-01-21 08:29:49,ALN002,Huntsville PPOx,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=809,
13,AL,2014-01-21 08:29:49,ALN003,Humana Dental PPO Traditional Preferred,https://www.humana.com/finder/search?customerID=1085&pfpkey=317,
14,AL,2013-09-10 14:43:20,ALN001,Advantage Plus,https://secure.ucci.com/tp2fad/?network=074,
15,AL,2013-06-06 10:50:48,ALN001,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,
16,AL,2014-01-17 09:36:20,ALN001,BCBSAL PPO,https://www.bcbsal.org/doctorfinder?frm=Exchange,
17,AL,2014-01-16 07:24:04,ALN001,Choice Plus,http://www.providerlookuponline.com/uhc/po7/gateway.aspx?delsys=05,
18,AL,2014-01-16 07:24:04,ALN002,Choice Plus,http://www.providerlookuponline.com/uhc/po7/gateway.aspx?delsys=05,
19,AL,2014-01-17 09:36:20,ALN001,Dentegra Dental PPO,http://www.dentegra.com/find-a-dentist,
20,AL,2014-01-21 08:29:49,ALN001,Delta Dental PPO,http://www.deltadentalins.com/find-a-dentist/,
21,AZ,2013-10-15 07:27:56,AZN001,EHB Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_AZ&planType=DPPO&networkID=2,
22,AZ,2013-10-15 07:27:56,AZN002,EHB Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_AZ&planType=DPPO&networkID=2,
23,AZ,2013-10-15 07:27:56,AZN003,Family Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_AZ&planType=DPPO&networkID=2,
24,AZ,2013-10-15 07:27:56,AZN004,Family Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_AZ&planType=DPPO&networkID=2,
